data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6730525,729,SUD8731,8731,31-Dec-15,2015,1,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Central Darfur,Rokoro,,Golo,13.1285,24.2814,1,Radio Dabanga,National,Clashes between SLM/A-Nur and military in Golo. 20 killed over two days in Guldo and Golo (5 fatalities coded for Guldo on Dec 31 and 5 on Jan 1; 5 fatalities coded for Golo on Dec 31 and 5 on Jan 1).,5,1579554679,SDN
6732358,729,SUD8733,8733,31-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,Central Darfur,Rokoro,,Fanga Suk,13.2756,24.6369,2,Radio Dabanga,National,"Joint army, RSF, and SAF air raids attack on villages near Fanga. 1 killed and four women raped in Dolo.",1,1579554685,SDN
6729031,729,SUD8730,8730,31-Dec-15,2015,2,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Sudan (1989-2019),,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,Central Darfur,Rokoro,,Rowata,13.3374,24.5012,2,Amnesty International,Other,"SAF shelled Rongatass village east of Row Fottah in late December or early January, leaving at least 8 people killed and several injured.",8,1579554674,SDN
6271095,728,SSD2555,2555,31-Dec-15,2015,1,Violence against civilians,Sexual violence,Military Forces of South Sudan (2011-),,1,Civilians (South Sudan),Women (South Sudan),7,17,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Wau,7.718,28.007,1,HRW,Other,"In another case, a father told Human Rights Watch that five soldiers raped his 28-year-old daughter, who was two-months pregnant, in the Hai Kosti neighbourhood (Wau) on New Year's Eve. The womans boyfriend was badly beaten by the soldiers.",0,1572403723,SSD
6731676,729,SUD8735,8735,31-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,Central Darfur,Wadi Salih,,Sunga,12.4284,23.4508,1,Radio Dabanga,National,"Second day of joint army, RSF, and SAF air raids attack on Sunga.",0,1579554683,SDN
6732477,729,SUD8734,8734,31-Dec-15,2015,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,Central Darfur,Rokoro,,Daya,13.2127,24.3748,2,Radio Dabanga,National,"Joint military and RSF attacks, shelled Dana village, Jebel Marrah. 2 children killed.",2,1579554685,SDN
6729671,729,SUD8732,8732,31-Dec-15,2015,1,Battles,Non-state actor overtakes territory,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Central Darfur,Nertiti,,Guldo,13.1365,24.1493,1,Radio Dabanga,National,Clashes between SLM/A-Nur and military in Guldo. SLM/A-Nur claims victory over territory of Guldo. 20 killed over two days in Guldo and Golo (5 fatalities coded for Guldo on Dec 31 and 5 on Jan 1; 5 fatalities coded for Golo on Dec 31 and 5 on Jan 1).,5,1579554676,SDN
6733799,729,SUD8736,8736,31-Dec-15,2015,1,Violence against civilians,Sexual violence,Military Forces of Sudan (1989-2019),,1,Civilians (Sudan),Women (Sudan),7,17,Northern Africa,Sudan,Central Darfur,Rokoro,,Dalo,13.238,24.4056,1,Radio Dabanga,National,"Government troops swept villages around Fanga, making arrests. 1 killed, and 4 women raped in Dalo.",1,1579554690,SDN
6270227,728,SSD2554,2554,30-Dec-15,2015,2,Violence against civilians,Attack,Military Forces of South Sudan (2011-),,1,Civilians (South Sudan),,7,17,Eastern Africa,South Sudan,Western Bahr el Ghazal,Jur River,Udici,Bussera,7.5818,28.0346,2,HRW,Other,"In a village between Moimoi and Busseri, soldiers beat villagers demanding to know the whereabouts of the rebels, burned hundreds of houses, and killed at least five people.",5,1572403722,SSD
6730526,729,SUD8724,8724,30-Dec-15,2015,1,Battles,Armed clash,SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction),,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Central Darfur,Nertiti,,Guldo,13.1365,24.1493,2,Radio Dabanga,National,Clashes between SLM/A-Nur faction and military in Rofta near Guldo.,0,1579554679,SDN
6866820,729,SUD12788,12788,30-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Aid Workers (Sudan); UN: United Nations,7,37,Northern Africa,Sudan,West Kordofan,Abyei-Muglad,,Muglad,11.0353,27.7525,2,Aid Worker Security Database,Local partner-Other,"""A UN humanitarian agency driver was carjacked by gunpoint while driving in a UN vehicle in the evening. He was shot and killed during the incident.""",1,1581982133,SDN
6270360,728,SSD2553,2553,30-Dec-15,2015,1,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Military Forces of South Sudan (2011-),,1,13,Eastern Africa,South Sudan,Western Equatoria,Yambio,Yambio,Yambio,4.571,28.4104,2,HRW,Other,Unidentified gunmen ambushed an SPLA vehicle on the Yambio-Nzara road.,0,1572403722,SSD
6731947,729,SUD8725,8725,30-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,South Darfur,Shattai,,Aradeib,12.206,23.9125,1,Radio Dabanga,National,"Joint army, RSF, and SAF air raids attack on Aradeib.",0,1579554684,SDN
6732206,729,SUD8727,8727,30-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,South Darfur,Sharg Jabel Marra,,Deribat,13.071,24.5151,1,Radio Dabanga,National,"Joint army, RSF, and SAF air raids attack on Deribat.",0,1579554684,SDN
6732462,729,SUD8726,8726,30-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,Central Darfur,Wadi Salih,,Dab Naira,12.5349,22.8541,1,Radio Dabanga,National,"Joint army, RSF, and SAF air raids attack on Dab Naira. 1 killed.",1,1579554685,SDN
6732467,729,SUD8729,8729,30-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,Central Darfur,Mukjar,,Terenga,12.0312,22.6828,2,Radio Dabanga,National,"Joint army, RSF, and SAF air raids attack on Terenga and Beronga. 2 killed, 1 seriously injured.",2,1579554685,SDN
6053304,729,SUD12789,12789,30-Dec-15,2015,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Aid Workers (Sudan); UN: United Nations,7,37,Northern Africa,Sudan,North Darfur,Kutum,,Kutum,14.2065,24.6499,2,Aid Worker Security Database,Local partner-Other,"""A contracted driver for the UN, who was delivering relief supplies, was abducted in the Kutum area of North Darfur on 30th December, 2015. He was freed on January 25th, 2016.""",0,1571164539,SDN
6732233,729,SUD8728,8728,30-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,Central Darfur,Wadi Salih,,Sunga,12.4284,23.4508,1,Radio Dabanga,National,"Joint army, RSF, and SAF air raids attack on Sunga. 1 killed.",1,1579554684,SDN
6730508,729,SUD8723,8723,29-Dec-15,2015,1,Battles,Armed clash,SPLM-N: Sudan Peoples Liberation Movement (North),,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Blue Nile,El Kurmuk,,Sally,10.7811,34.1942,2,Sudan Tribune; Radio Dabanga,National,"Clashes between military and SPLM-N near Kurmuk between El Birka and Sally. 4 soldiers killed, 9 wounded.",4,1579554679,SDN
6729040,729,SUD8719,8719,29-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,Central Darfur,Rokoro,,Fanga Suk,13.2756,24.6369,2,Radio Dabanga,National,SAF bombs west of Fanga. 2 killed.,2,1579554674,SDN
5825945,729,SUD8721,8721,29-Dec-15,2015,1,Protests,Peaceful protest,Protesters (Sudan),,6,,,0,60,Northern Africa,Sudan,Central Darfur,Mukjar,,Bindisi,11.9397,23.075,1,Radio Dabanga,National,Militiamen protested outside of Bindisi hospital demanding staff pay a woman who had a miscarriage.,0,1567462227,SDN
6732479,729,SUD8722,8722,29-Dec-15,2015,1,Violence against civilians,Attack,Abala Ethnic Militia (Sudan),Military Forces of Sudan (1989-2019) Rapid Support Forces,4,Civilians (Sudan),,7,47,Northern Africa,Sudan,Central Darfur,Mukjar,,Domaya,11.328,23.286,1,Radio Dabanga,National,"Abala militia supported by RSF raided the house of the sheikh of the Iringa tribe in Domaya, killing the sheikhs son.",1,1579554685,SDN
5826283,729,SUD8720,8720,29-Dec-15,2015,1,Protests,Peaceful protest,Protesters (Sudan),,6,,,0,60,Northern Africa,Sudan,Central Darfur,Rokoro,,Aro,13.3129,24.4062,1,Radio Dabanga,National,Aro residents protest against construction of a model village.,0,1567462227,SDN
6270007,728,SSD2552,2552,28-Dec-15,2015,1,Violence against civilians,Sexual violence,Arrow Boys Militia,,3,Civilians (International),Christian Group (United States); Women (United States),7,37,Eastern Africa,South Sudan,Western Equatoria,Yambio,Yambio,Yambio,4.571,28.4104,2,HRW,Other,"On December 28, five armed men (allegedly Arrow Boys) broke into a Catholic organization compound and raped a 67-year old American nun, stole vehicles and valuables, and beat staff members",0,1572403722,SSD
6311495,728,SSD2550,2550,28-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Bahr el Ghazal,Wau,Udici,Wau,7.718,28.007,2,Sudan Tribune,Regional,Gunmen shot dead the chief of Bussere Payam south of Wau.,1,1572403782,SSD
6868041,729,SUD8717,8717,28-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,North Darfur,Dar El Salam,,Katur,13.1449,24.686,1,Radio Dabanga,National,SAF drop bombs on Katur. 2 boys killed.,2,1581982137,SDN
6733701,729,SUD8718,8718,28-Dec-15,2015,1,Protests,Excessive force against protesters,Police Forces of Sudan (1989-2019),,1,Protesters (Sudan),Students (Sudan),6,16,Northern Africa,Sudan,West Darfur,El Geneina,,El Geneina,13.4413,22.4454,1,Sudan Tribune; Radio Dabanga,National,"2 students killed, 11 injured in protests against bread shortages. Police fired live ammunition, tear gas and used batons to disperse the crowd. Several arrested.",2,1579554689,SDN
6304699,728,SSD2549,2549,28-Dec-15,2015,2,Battles,Armed clash,Dinka Aguok Ethnic Militia (South Sudan),,4,Dinka Marial Lou Ethnic Militia (South Sudan),,4,44,Eastern Africa,South Sudan,Warrap,Tonj North,Kuanjthii,Warrap,8.0948,28.6524,2,Radio Tamazuj,Regional,"Clashes between Akok and Marial Lou clans in Tonj North. 37 killed, 40 wounded.",37,1572403773,SSD
6304493,728,SSD2551,2551,28-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),Catholic Christian Group (South Sudan); Women (South Sudan),7,37,Eastern Africa,South Sudan,Western Equatoria,Yambio,Yambio,Yambio,4.571,28.4104,1,Radio Tamazuj,Regional,Armed men assaulted nuns in Yambio.,0,1572403772,SSD
6249154,728,SSD2548,2548,27-Dec-15,2015,1,Violence against civilians,Sexual violence,Military Forces of South Sudan (2011-),,1,Civilians (South Sudan),,7,17,Eastern Africa,South Sudan,Unity,Leer,Gandor,Gandor,8.3513,30.1444,1,Amnesty International,Other,7 civilians are killed on the 27 Dec by SPLA troops. There are also reports of sexual assault by SPLA soldiers.,7,1572403696,SSD
6730438,729,SUD8716,8716,27-Dec-15,2015,1,Battles,Armed clash,Military Forces of Sudan (1989-2019),,1,Police Forces of Sudan (1989-2019),,1,11,Northern Africa,Sudan,South Darfur,Nyala,,Nyala,12.0556,24.8906,1,Sudan Tribune; Radio Dabanga,National,"Army officer shot at a government employee at the criminal court in Nyala. Killed one civilian and wounded four others, including three policeman. Police shot the army officer to death.",2,1579554678,SDN
6730472,729,SUD8715,8715,26-Dec-15,2015,1,Battles,Armed clash,SPLM-N: Sudan Peoples Liberation Movement (North),,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Blue Nile,Bau,,Bau,11.33,34.06,2,Radio Dabanga; Sudan Tribune,National,Clashes between military and SPLM-N in Torda in Bau. 13 soldiers killed.,13,1579554678,SDN
4839568,729,SUD8712,8712,25-Dec-15,2015,1,Battles,Armed clash,Rizaygat Ethnic Militia (Sudan),,4,Mararit Ethnic Militia (Sudan),,4,44,Northern Africa,Sudan,Central Darfur,Mukjar,,Bindisi,11.9397,23.075,1,Al-Ayyam,National,"Clashes between Rizaygat and Mararit. 1 dead, 4 injured.",1,1552577233,SDN
5827285,729,SUD8713,8713,25-Dec-15,2015,1,Violence against civilians,Attack,Militia (Pro-Government),,3,Civilians (Sudan),Farmers (Sudan),7,37,Northern Africa,Sudan,Central Darfur,Mukjar,,Mukjar,11.95,23.2832,1,Radio Dabanga,National,Farmer shot dead by government militia in Mukjar.,1,1567462228,SDN
6384367,729,SUD8714,8714,25-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Refugees/IDPs (Sudan),7,37,Northern Africa,Sudan,South Darfur,Shattai,,Otash,12.3881,25.0863,1,Sudan Tribune,National,Armed group attacked and killed a resident of Otash camp.,1,1574720889,SDN
6973477,728,SSD2543,2543,24-Dec-15,2015,1,Battles,Armed clash,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,Agwelek Forces,2,Military Forces of South Sudan (2011-),,1,12,Eastern Africa,South Sudan,Upper Nile,Panyikang,Pakang,Shilluk,9.6667,31.3333,1,Radio Tamazuj; South Sudan News Agency,National-Regional,Clashes between SPLA/M-IO / Agwelek forces vs. military in Makal Shilluk north of Malakal.,0,1583194166,SSD
6305666,728,SSD2546,2546,24-Dec-15,2015,2,Violence against civilians,Attack,Military Forces of South Sudan (2011-),,1,Civilians (South Sudan),,7,17,Eastern Africa,South Sudan,Western Equatoria,Mundri East,Kediba,Lui,5.333,30.458,1,Radio Tamazuj,Regional,"At least 7 men detained and killed by government forces on or about Dec 24, 2015 in Lui.",7,1572403774,SSD
5826207,729,SUD8711,8711,24-Dec-15,2015,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,North Darfur,Kornoi,,Kabkabia,14.027,23.7918,2,Radio Dabanga,National,Militiamen abduct one boy from El Gahra west of Kabkabia and one boy from El Amiriya in Kabkabia.,0,1567462227,SDN
6305742,728,SSD2544,2544,24-Dec-15,2015,1,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Police Forces of South Sudan (2011-),,1,13,Eastern Africa,South Sudan,Western Equatoria,Yambio,Bangasu,Makpandu,4.7398,28.667,1,Radio Tamazuj,Regional,Unknown group attacked police station in Makpandu. One woman raped during the incident. One person abducted.,0,1572403774,SSD
6304995,728,SSD2547,2547,24-Dec-15,2015,1,Violence against civilians,Sexual violence,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),Women (South Sudan),7,37,Eastern Africa,South Sudan,Western Equatoria,Yambio,Bangasu,Makpandu,4.7398,28.667,1,Radio Tamazuj,Regional,Unknown group attacked police station in Makpandu. One woman raped during the incident. One person abducted.,0,1572403773,SSD
6975473,728,SSD2545,2545,24-Dec-15,2015,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Western Equatoria,Mundri East,Kediba,Lui,5.333,30.458,1,Radio Tamazuj,Regional,Clashes between military and SPLA/M-IO in Lui. 4 soldiers killed.,4,1583194175,SSD
6249232,728,SSD2540,2540,23-Dec-15,2015,2,Violence against civilians,Attack,Military Forces of South Sudan (2011-),,1,Civilians (South Sudan),,7,17,Eastern Africa,South Sudan,Unity,Leer,Gandor,Gandor,8.3513,30.1444,1,Amnesty International,Other,8 civilians are killed by SPLA soldiers in Gandor in the run up to Christmas.,8,1572403696,SSD
6867990,729,SUD8710,8710,23-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,North Darfur,Dar El Salam,,Tabit,13.3101,25.0877,2,Radio Dabanga,National,Militiamen beat and whip firewood collectors near Tabit.,0,1581982137,SDN
5827694,729,SUD8709,8709,23-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,North Darfur,Kornoi,,Kabkabia,14.027,23.7918,1,Radio Dabanga,National,Militiamen ambush a vehicle in Kabkabia and beat the driver with rifle butts.,0,1567462229,SDN
6249094,728,SSD2542,2542,23-Dec-15,2015,1,Violence against civilians,Attack,Police Forces of South Sudan (2011-) National Security Service,,1,Civilians (South Sudan),Journalists (South Sudan),7,17,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,Amnesty International,Other,"NSS arrested a journalist in Juba for criticizing in an article SPLM's human rights record. He was held in incommunicado detention at the NSS headquarters in Juba until his release in February. While in detention, he was subjected to torture and other ill-treatment.",0,1572403696,SSD
6249138,728,SSD2541,2541,23-Dec-15,2015,2,Violence against civilians,Attack,Military Forces of South Sudan (2011-),,1,Civilians (South Sudan),,7,17,Eastern Africa,South Sudan,Unity,Leer,Guat,Guat,8.3961,30.1451,1,Amnesty International,Other,At least five civilians are killed in Guat payam by uniformed. SPLA soldiers.,5,1572403696,SSD
5826345,729,SUD8707,8707,22-Dec-15,2015,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,South Darfur,Kass,,Kass,12.5052,24.2855,2,Radio Dabanga,National,Charcoal burner abducted in Tegaro village in Kass locality.,0,1567462227,SDN
6730560,729,SUD8703,8703,22-Dec-15,2015,1,Protests,Excessive force against protesters,Protesters (Sudan),,6,Police Forces of Sudan (1989-2019),,1,16,Northern Africa,Sudan,Khartoum,Khartoum,,Burri,15.6,32.5667,1,Radio Dabanga,National,"Protests in Burri El Lamab against shortage of fuel. Police used tear gas and batons, severely beating demonstrators.",0,1579554679,SDN
5825414,729,SUD8708,8708,22-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,South Darfur,Marshang,,Kurru,12.5,25.25,2,Radio Dabanga,National,Militiamen beat people in Kurru and Um Seheiba.,0,1567462226,SDN
5823374,729,SUD8702,8702,22-Dec-15,2015,1,Protests,Peaceful protest,Protesters (Sudan),,6,,,0,60,Northern Africa,Sudan,North Darfur,El Fasher,,El Fasher,13.6264,25.3559,1,Radio Dabanga,National,Farmers march in protest of Abala violence in North Darfur.,0,1567462224,SDN
5823640,729,SUD8705,8705,22-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,South Darfur,Bielel,,Goza,12.0028,24.521,1,Radio Dabanga,National,Militiamen beat people in Goza.,0,1567462224,SDN
6053325,728,SSD5919,5919,22-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (International),Aid Workers (International),7,37,Eastern Africa,South Sudan,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,1,Aid Worker Security Database,Local partner-Other,"""An INGO partner group was ambushed on the Torit-Kapoeta Road in Budi County. One of the passengers was shot and killed. Two were injured and required medical attention.""",1,1571164539,SSD
6305747,728,SSD2539,2539,22-Dec-15,2015,1,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Military Forces of South Sudan (2011-),,1,13,Eastern Africa,South Sudan,Jonglei,Pochalla,Pochalla,Pochalla,7.1783,34.0967,1,Radio Tamazuj,Regional,Clashes between military and armed traders in Pochalla. One wounded.,0,1572403774,SSD
6384355,729,SUD8704,8704,22-Dec-15,2015,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Refugees/IDPs (Sudan),7,37,Northern Africa,Sudan,Central Darfur,Wadi Salih,,Garsila,12.3725,23.1375,2,Radio Dabanga,National,Boy abducted in Jebelein camp in Garsila.,0,1574720889,SDN
6384356,729,SUD8706,8706,22-Dec-15,2015,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Refugees/IDPs (Sudan); Women (Sudan),7,37,Northern Africa,Sudan,Central Darfur,Zalingei,,Hamidiya,12.9169,23.4831,1,Radio Dabanga,National,7 women abducted in Hamidiya camp.,0,1574720889,SDN
6868044,729,SUD8700,8700,21-Dec-15,2015,1,Violence against civilians,Sexual violence,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,North Darfur,Dar El Salam,,Dali,13.2486,25.0486,1,Radio Dabanga,National,"Militiamen attacked Dali, North Darfur. 1 killed, three raped, two abducted.",1,1581982137,SDN
5827216,729,SUD8699,8699,21-Dec-15,2015,1,Battles,Armed clash,Abala Ethnic Militia (Sudan),Pastoralists (Sudan),4,Unidentified Communal Militia (Sudan),Farmers (Sudan),4,44,Northern Africa,Sudan,North Darfur,El Malha,,Jadwal,17.8167,27.4333,1,Radio Dabanga,National,"Clashes between Abala herders and farmers in Jadwal, North Darfiur, SE of El Fasher. 2 killed, 5 injured.",2,1567462228,SDN
6384354,729,SUD8701,8701,21-Dec-15,2015,1,Violence against civilians,Sexual violence,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Refugees/IDPs (Sudan); Women (Sudan),7,37,Northern Africa,Sudan,North Darfur,Tawilla,,Zamzam,13.484,25.3075,2,Radio Dabanga,National,Displaced woman raped east of Zamzam camp.,0,1574720889,SDN
6866180,728,SSD2538,2538,20-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),,8,Civilians (South Sudan),,7,78,Eastern Africa,South Sudan,Upper Nile,Maban,Khor Tombak,Khor Tombak,9.9917,33.6198,1,Radio Tamazuj; Radio Dabanga,Regional,Sudan air forces aerial bombardments of Khor Tombak for third day.,0,1581982131,SSD
6732534,729,SUD8697,8697,20-Dec-15,2015,1,Riots,Violent demonstration,Rioters (Sudan),Students (Sudan),5,Police Forces of Sudan (1989-2019),,1,15,Northern Africa,Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,1,Radio Dabanga,National,Students of the University of Khartoum block two main roads against deteriorating services in dorms. Police used tear gas and batons.,0,1579554686,SDN
5834495,729,SUD8698,8698,20-Dec-15,2015,1,Violence against civilians,Attack,NCP: National Congress Party,Students (Sudan),3,Civilians (Sudan),Students (Sudan),7,37,Northern Africa,Sudan,Khartoum,Umm Badda,,Omdurman,15.6447,32.4549,1,Radio Tamazuj,National,NCP students with guns and machetes attacked other students outside of a mosque at University of Omdurman.,0,1567462237,SDN
6866179,728,SSD2537,2537,19-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),,8,Civilians (South Sudan),,7,78,Eastern Africa,South Sudan,Upper Nile,Maban,Khor Tombak,Khor Tombak,9.9917,33.6198,1,Radio Dabanga; Radio Tamazuj,Regional,Sudan air forces aerial bombardments of Khor Tombak for second day.,0,1581982131,SSD
6305040,728,SSD2536,2536,19-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,2,Radio Tamazuj,Regional,Gunmen ambush public vehicle along Juba-Yei road. 1 killed.,1,1572403773,SSD
6731141,729,SUD8696,8696,19-Dec-15,2015,1,Battles,Armed clash,SRF: Sudan Revolutionary Front,SPLM-N: Sudan Peoples Liberation Movement (North),2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Blue Nile,Bau,,Bau,11.33,34.06,2,Sudan Tribune; Al Taghyeer (Sudan),National,"Clashes between military and SRF (including SPLM-N fighters) in Tuwarad, 50km east of Bau. 4 soldiers killed, 2 arrested.",4,1579554681,SDN
6730383,729,SUD8694,8694,19-Dec-15,2015,1,Battles,Armed clash,Misseriya Ethnic Militia (Sudan),,4,Police Forces of Sudan (1989-2019),,1,14,Northern Africa,Sudan,South Darfur,Bielel,,Bielel,11.9926,25.036,1,Radio Dabanga,National,Misseriya attack police convoy and seized weapons in Bielel. Misseriya accused police of favouring Abala herders.,0,1579554678,SDN
6384353,729,SUD8695,8695,19-Dec-15,2015,1,Violence against civilians,Sexual violence,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Refugees/IDPs (Sudan); Women (Sudan),7,37,Northern Africa,Sudan,North Darfur,Dar El Salam,,Shangil Tobay,13.0597,25.1894,1,Radio Dabanga,National,Militiamen rape a displaced girl in Shangil Tobay.,0,1574720889,SDN
6866178,728,SSD2535,2535,18-Dec-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),,8,Civilians (South Sudan),,7,78,Eastern Africa,South Sudan,Upper Nile,Maban,Khor Tombak,Khor Tombak,9.9917,33.6198,1,Radio Dabanga; Radio Tamazuj,Regional,Sudan air forces aerial bombardments of Khor Tombak kill at least one child and injure three.,1,1581982131,SSD
6053042,728,SSD5918,5918,18-Dec-15,2015,1,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Private Security Forces (South Sudan),UN: United Nations,8,38,Eastern Africa,South Sudan,Western Equatoria,Ezo,Ezo,Ezo,5.0706,27.4722,2,Aid Worker Security Database,Local partner-Other,"""A UN contracted security guard was shot and killed when traveling with four other passengers to Ezo. They were ambushed while traveling to the town to pay local salaries. The assailants did not steal the cash.""",1,1571164539,SSD
6384352,729,SUD8693,8693,18-Dec-15,2015,1,Violence against civilians,Sexual violence,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Refugees/IDPs (Sudan); Women (Sudan),7,37,Northern Africa,Sudan,North Darfur,Kutum,,Kassab,14.2,24.65,2,Radio Dabanga,National,Displaced woman raped by militiamen north of Kassab camp.,0,1574720889,SDN
6023960,729,SUD8690,8690,17-Dec-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Farmers (Sudan); Refugees/IDPs (Sudan),7,37,Northern Africa,Sudan,Central Darfur,Mukjar,,Bindisi,11.9397,23.075,1,Radio Dabanga,National,Militiamen kill 1 displaced farmer and abduct youth in Bindisi.,1,1571091923,SDN
